row_id,truth_class,confidence,reason
b1476,x,high,road 2 create folder lock
b1194,x,high,road 2 create presigned urls
b0546,w,high,DELETE default own subscription
b1549,x,high,"road 2 creates new copy of version"
b0452,w,high,PATCH default own resource
b1153,x,low,"rule ii POST create overrides rule 4"
b0025,w,high,dismiss own review no reach
b1308,w,high,rule 6 caller withdraws own oauth grant
b1733,x,high,road 2 create comment new item
b0539,x,low,"opId says create ambiguous with configures"
b0318,w,high,rule iii edit existing issue own item
b0820,w,high,DELETE default own edge
b0468,x,high,road 2 create new release
b1755,w,high,rule 9 cancel own pipeline no outside party
b0867,r,high,rule i check validates own token
b1067,r,high,rule i check query no default
b0090,w,high,PATCH default own resource
b1671,w,high,DELETE default own snippet
b0331,w,high,PUT default own file
b0245,x,high,rule 4 app role assignment changes access
b0542,w,high,DELETE default own mapping
b1213,w,high,PUT default own webhook
b1442,x,high,road 2 create checklist
b1168,w,high,rule 4 delete own status definitions
b0692,w,high,DELETE default own resource
b1656,w,high,rule 4 update own group definition
b0359,w,high,rule 4 delete own label definition
b0277,w,low,rule iii sets existing config priorities
b1304,x,high,road 2 create s3 tag
b1257,w,high,PUT default edits own files metadata
b0383,w,high,rule iii remove label from own issue
b0023,x,high,road 2 create pages site
b1738,w,high,DELETE default own repo tag
b0032,x,high,road 2 create label
b0061,w,high,rule 2 edit own account email
b1807,w,high,rule 6 reset own token key
b1118,w,high,PUT default own field option definition
b1373,w,high,rule 4 update own org name
b0130,x,high,rule 4 changes idp group membership
b1595,w,high,irreversibility not test own file
b1641,x,high,road 2 create group
b1160,w,high,PUT default own transition property
b0031,x,low,road 1a announcement banner shown to all
b0986,x,high,road 2 create initial access token
b0603,x,high,road 2 create template
b1043,x,high,road 2 create issue link type
b1482,x,high,rule 12 triggers cascade job
b0223,w,high,PATCH default own team app
b0645,w,high,PATCH default own resource
b0247,w,high,DELETE default own resource
b0124,x,high,rule 12 triggers export job
b0657,w,high,rule 4 update own group
b0544,x,high,road 1a resend invite notification
b0660,x,high,road 2 create console port
b1254,w,high,rule iii delete own comment
b0774,x,high,rule 12 triggers retry job
b0460,x,high,rule 12 triggers test run
b0338,x,high,road 2 create organization
b0150,x,high,road 2 create blob
b1780,x,high,road 2 create project
b1028,w,high,rule 4 delete own project definition
b1417,w,high,PUT default own checklist
b1314,w,high,rule 4 delete own group definition
b0094,w,high,rule 6 own repo secret
b0935,x,high,road 2 create group
b1649,w,high,rule 7 remove own award emoji
b1022,w,high,rule 4 update own role definition
b0759,x,high,road 2 create db connection
b0998,w,high,rule 5 delete own idp mapper config
b1437,w,high,rule 11 mark notification unread
b1633,w,high,PUT default own service config
b1435,x,high,road 2 create card
b1210,x,high,road 2 create idp config
b1525,w,high,rule iii restore own file not new
b0194,w,high,DELETE default own resource
b0860,x,low,rule 2 password credential change
b1225,x,high,rule 2 emergency mfa recovery data
b1431,x,high,road 2 create list
b1017,x,high,road 2 create client
b1033,w,high,rule 4 update own priority definition
b0380,x,high,road 2 create milestone
b0885,w,high,DELETE default unregister own node
b0733,w,high,PUT default bulk update own resources
