row_id,provider,method,path,operationId,summary,description
b1647,gitlab.com,POST,/v3/projects/{id}/snippets/{snippet_id}/award_emoji,postV3ProjectsIdSnippetsSnippetIdAwardEmoji,Award a new Emoji,This feature was introduced in 8.9
b0062,github.com,DELETE,/orgs/{org}/actions/runners/{runner_id}/labels/{name},actions/remove-custom-label-from-self-hosted-runner-for-org,Remove a custom label from a self-hosted runner for an organization,Remove a custom label from a self-hosted runner configured in an organization. Returns the remaining labels from the runner. This endpoint returns a `404 Not Found` status if the custom label is not present on the runner. You must authenticate using an access token with the `admin:org` scope to use this endpoint.
b0324,gitea.io,DELETE,/repos/{owner}/{repo}/issues/{index}/comments/{id},issueDeleteCommentDeprecated,Delete a comment,
b0784,clearblade.com,POST,/admin/reg,RegDev,DEVELOPER - Register new dev,Registers a new developer account with the CB platform.
b0828,clearblade.com,PUT,/admin/v/4/service_caches/{systemKey}/{cacheName},UpdateSharedCache,SHARED CACHE - Update a shared cache,"Updates a shared cache properties, like ttl & description."
b0059,github.com,DELETE,/projects/columns/cards/{card_id},projects/delete-card,Delete a project card,
b0017,github.com,POST,/user/ssh_signing_keys,users/create-ssh-signing-key-for-authenticated-user,Create a SSH signing key for the authenticated user,"Creates an SSH signing key for the authenticated user's GitHub account. You must authenticate with Basic Authentication, or you must authenticate with OAuth with at least `write:ssh_signing_key` scope. For more information, see ""[Understanding scopes for OAuth apps](https://docs.github.com/apps/building-oauth-apps/understanding-scopes-for-oauth-apps/)."""
b1658,gitlab.com,PUT,/v3/snippets/{id},putV3SnippetsId,Update an existing snippet,This feature was introduced in GitLab 8.15.
b0264,microsoft.com,DELETE,/me/planner/tasks/{plannerTask-id}/bucketTaskBoardFormat,me.planner.tasks.DeleteBucketTaskBoardFormat,Delete navigation property bucketTaskBoardFormat for me,
b1136,atlassian.com,POST,/rest/api/3/issue/{issueIdOrKey}/attachments,addAttachment,Add attachment,"Adds one or more attachments to an issue. Attachments are posted as multipart/form-data ([RFC 1867](https://www.ietf.org/rfc/rfc1867.txt)). Note that:  *  The request must have a `X-Atlassian-Token: no-check` header, if not it is blocked. See [Special headers](#special-request-headers) for more information.  *  The name of the multipart/form-data parameter that contains the attachments must be `file`. The following examples upload a file called *myfile.txt* to the issue *TEST-123*: #### curl ###"
b0659,netbox.dev,PATCH,/extras/export-templates/{id}/,extras_export-templates_partial_update,,
b1370,trello.com,PUT,/organizations/{idOrg}/prefs/permissionLevel,updateOrganizationsPrefsPermissionLevelByIdOrg,updateOrganizationsPrefsPermissionLevelByIdOrg(),
b0538,appcenter.ms,POST,/v0.1/apps/{owner_name}/{app_name}/owner/device_sets,test_createDeviceSetOfOwner,,Creates a device set belonging to the owner
b0340,gitea.io,POST,/repos/{owner}/{repo}/hooks,repoCreateHook,Create a hook,
b1410,trello.com,DELETE,/cards/{idCard}/idLabels/{idLabel},deleteCardsIdLabelsByIdCardByIdLabel,deleteCardsIdLabelsByIdCardByIdLabel(),
