set,vendor,method,operationId,path,summary,truth,predicted,rule,floor,verdict,previous_predicted,previous_verdict
holdout2,adyen,POST,post-cardDetails,/cardDetails,Get the brands and other details of a card,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout2,adyen,POST,post-donationCampaigns,/donationCampaigns,Get a list of donation campaigns.,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout2,adyen,POST,post-originKeys,/originKeys,Create originKey values for domains,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout2,adyen,POST,post-paymentMethods,/paymentMethods,Get a list of available payment methods,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout2,adyen,POST,post-paymentMethods-balance,/paymentMethods/balance,Get the balance of a gift card,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout2,adyen,POST,post-validateShopperId,/validateShopperId,Validates shopper Id,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout5,amazon,POST,deliveryOffers,/fba/outbound/2020-07-01/deliveryOffers,,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout5,amazon,POST,generateInvoice,/externalFulfillment/2024-09-11/shipments/{shipmentId}/invoice,,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout5,amazon,POST,validateContentDocumentAsinRelations,/aplus/2020-11-01/contentAsinValidations,,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout5,amazon,PUT,getUnmanifestedShipments,/shipping/v2/unmanifestedShipments,,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
exam3,apicurio.local,PUT,testUpdateArtifact,/groups/{groupId}/artifacts/{artifactId}/test,Test update artifact,r,w,floor,true,OVER-TIGHT,w,OVER-TIGHT
holdout2,box,POST,post_ai_ask,/ai/ask,Ask question,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout2,box,POST,post_ai_text_gen,/ai/text_gen,Generate text,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
camara,camara,POST,KYC_Fill-in,/fill-in,Providing information related to a customer identity stored the account data bound to the customer's phone number.,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
camara,camara,POST,KYC_Match,/match,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
camara,camara,POST,discoverOptimalEdge,/retrieve-optimal-edge-cloud-zones,Discover optimal edge cloud zones for deployed applications,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
camara,camara,POST,kycFillin,/fill-in,Providing information related to a customer identity stored the account data bound to the customer's phone number.,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
camara,camara,POST,kycMatch,/match,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
camara,camara,POST,phoneNumberVerify,/verify,Verifies if the received hashed/plain text phone number matches the phone number associated with the access token,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
camara,camara,POST,profileList,/profile/downloaded-list,Query downloaded profile list,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
camara,camara,POST,profileResultQuery,/profile/result/query,Query profile operation result,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout4,cloudflare,POST,autorag-config-search,/accounts/{account_id}/autorag/rags/{id}/search,Search,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout4,cloudflare,POST,dlp-pattern-validate,/accounts/{account_id}/dlp/patterns/validate,Validate a DLP regex pattern,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout4,cloudflare,PUT,slurper-check-source-connectivity,/accounts/{account_id}/slurper/source/connectivity-precheck,Check source connectivity,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
exam3,gettyimages.com,PUT,,/v3/asset-changes/change-sets,Get asset change notifications.,r,w,floor,true,OVER-TIGHT,w,OVER-TIGHT
exam2,httpbin.org,DELETE,,/delay/{delay},Returns a delayed response (max of 10 seconds).,r,x,no-own-noun,false,OVER-TIGHT,w,OVER-TIGHT
exam3,httpbin.org,DELETE,,/anything,Returns anything passed in request data.,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
exam3,httpbin.org,DELETE,,/delete,The request's DELETE parameters.,r,w,floor,true,OVER-TIGHT,w,OVER-TIGHT
exam3,httpbin.org,DELETE,,/redirect-to,302/3XX Redirects to the given URL.,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
exam3,httpbin.org,DELETE,,/status/{codes},Return status code or random status code if more than one are given,r,w,floor,true,OVER-TIGHT,x,OVER-TIGHT
exam2,httpbin.org,PATCH,,/redirect-to,302/3XX Redirects to the given URL.,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
exam3,httpbin.org,PATCH,,/anything,Returns anything passed in request data.,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
exam3,httpbin.org,PATCH,,/anything/{anything},Returns anything passed in request data.,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
exam3,httpbin.org,PATCH,,/delay/{delay},Returns a delayed response (max of 10 seconds).,r,x,no-own-noun,false,OVER-TIGHT,w,OVER-TIGHT
exam3,httpbin.org,PATCH,,/patch,The request's PATCH parameters.,r,w,floor,true,OVER-TIGHT,w,OVER-TIGHT
exam3,httpbin.org,PATCH,,/status/{codes},Return status code or random status code if more than one are given,r,w,floor,true,OVER-TIGHT,x,OVER-TIGHT
exam2,httpbin.org,PUT,,/anything,Returns anything passed in request data.,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
exam2,httpbin.org,PUT,,/put,The request's PUT parameters.,r,w,floor,true,OVER-TIGHT,w,OVER-TIGHT
exam3,httpbin.org,PUT,,/anything/{anything},Returns anything passed in request data.,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
exam3,httpbin.org,PUT,,/delay/{delay},Returns a delayed response (max of 10 seconds).,r,x,no-own-noun,false,OVER-TIGHT,w,OVER-TIGHT
exam3,httpbin.org,PUT,,/redirect-to,302/3XX Redirects to the given URL.,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
exam3,httpbin.org,PUT,,/status/{codes},Return status code or random status code if more than one are given,r,w,floor,true,OVER-TIGHT,x,OVER-TIGHT
exam2,presalytics.io,PUT,shared_images_getimage_put_id,/Images/GetImage/{Id},Image: Download Image,r,x,no-own-noun,false,OVER-TIGHT,w,OVER-TIGHT
exam2,shipengine.com,PUT,parse_address,/v1/addresses/recognize,Parse an address,r,x,no-own-noun,false,OVER-TIGHT,w,OVER-TIGHT
exam3,shipengine.com,PUT,parse_shipment,/v1/shipments/recognize,Parse shipping info,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
holdout5,slack,POST,users_setActive,/users.setActive,,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
exam2,unicourt.com,PUT,listAllTokenIds,/listAllTokenIds,API to list all the access tokens Id.,r,x,no-own-noun,false,OVER-TIGHT,x,OVER-TIGHT
holdout3,vercel,POST,artifactQuery,/v8/artifacts,Query information about an artifact,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout3,vercel,POST,generateRoute,/v1/projects/{projectId}/routes/generate,Generate a routing rule from natural language,r,x,floor,true,OVER-TIGHT,x,OVER-TIGHT
holdout2,adyen,GET,get-paymentLinks-linkId,/paymentLinks/{linkId},Get a payment link,r,r,floor,true,ok,r,ok
holdout2,adyen,GET,get-sessions-sessionId,/sessions/{sessionId},Get the result of a payment session,r,r,floor,true,ok,r,ok
holdout2,adyen,GET,get-storedPaymentMethods,/storedPaymentMethods,Get tokens for stored payment details,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,GetShipmentDetails,/vendor/shipping/v1/shipments,GetShipmentDetails,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getAccount,/finances/transfers/wallet/2024-03-01/accounts/{accountId},Find particular Amazon Seller Wallet account by Amazon account identifier,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getAdditionalInputs,/shipping/v2/shipments/additionalInputs/schema,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getAppointmentSlots,/service/v1/appointmentSlots,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getBrowseNodeReturnTopics,/customerFeedback/2024-06-01/browseNodes/{browseNodeId}/returns/topics,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getBrowseNodeReviewTrends,/customerFeedback/2024-06-01/browseNodes/{browseNodeId}/reviews/trends,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getCarrierAccountFormInputs,/shipping/v2/carrierAccountFormInputs,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getCatalogItem,/catalog/2022-04-01/items/{asin},,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getContentDocument,/aplus/2020-11-01/contentDocuments/{contentReferenceKey},,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getCustomerInvoices,/vendor/directFulfillment/shipping/2021-12-28/customerInvoices,getCustomerInvoices,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getFeatureSKU,/fba/outbound/2020-07-01/features/inventory/{featureName}/{sellerSku},,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getFeedDocument,/feeds/2021-06-30/documents/{feedDocumentId},,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getInboundShipment,/awd/2024-05-09/inboundShipments/{shipmentId},,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getInvoice,/finances/invoices/2026-06-25/invoices/{invoiceIdentifier},,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getInvoice,/tax/invoices/2024-06-19/invoices/{invoiceId},,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getInvoiceStatus,/delivery/2022-07-01/invoice/status,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getInvoicesAttributes,/tax/invoices/2024-06-19/attributes,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getItemOffers,/products/pricing/v0/items/{Asin}/offers,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getItemReviewTrends,/customerFeedback/2024-06-01/items/{asin}/reviews/trends,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getLabels,/fba/inbound/v0/shipments/{shipmentId}/labels,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getMessagingActionsForOrder,/messaging/v1/orders/{amazonOrderId},,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getOrder,/fulfillment/outbound/2026-07-04/orders/{orderId},,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getOrder,/orders/2026-01-01/orders/{orderId},,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getOrderAddress,/orders/v0/orders/{orderId}/address,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getOrderItemsBuyerInfo,/orders/v0/orders/{orderId}/orderItems/buyerInfo,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getOrderMetrics,/sales/v1/orderMetrics,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getOrders,/vendor/directFulfillment/orders/2021-12-28/purchaseOrders,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getOrders,/vendor/directFulfillment/orders/v1/purchaseOrders,,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getPackingSlip,/vendor/directFulfillment/shipping/2021-12-28/packingSlips/{purchaseOrderNumber},getPackingSlip,r,r,floor,true,ok,r,ok
holdout5,amazon,GET,getPackingSlips,/vendor/directFulfillment/shipping/v1/packingSlips,,r,r,floor,true,ok,r,ok
