row_id,truth_class,confidence,reason
e0189,x,high,POST create road 2 new hook
e0343,w,high,rule 4 container definition edit
e0168,x,high,POST create road 2 new custom domain
e0459,w,low,rule 1 crm records in own list no access text
e0392,x,high,road 1a publishes message to another person
e0083,w,high,rule 5 own tenant configuration
e0294,w,high,rule 4 definition token delete
e0283,w,high,rule 1 own record archive
e0903,x,high,POST create road 2 new ticket field
e0998,w,low,rule 2 edits account preference not access
e0279,w,high,rule 1 own company record delete
e0478,w,high,PUT floor own object association
e0939,w,high,rule 4 own status definition edit
e0309,w,low,DELETE floor own url mapping text absent
e0793,w,high,rule 4 container delete own collection
e0736,x,high,POST create road 2 new case
e0082,w,high,rule 5 own tenant configuration
e0553,w,high,rule 4 own segment definition edit
e0300,w,high,rule 1 own marketing event delete
e0734,x,low,POST create road 2 new export link
e0836,w,high,PATCH floor upsert own record by external id
e0155,x,high,POST create road 2 new client grant
e0245,w,high,rule 4 template assignment to own org
e0009,w,high,rule 6 own credential delete
e0371,w,high,rule 4 own property group edit
e0427,r,high,POST read only batch read
e0694,w,high,PATCH floor own board item edit
e0059,w,high,rule 4 own rule definition delete
e0043,x,low,rule 4 changes membership of an organization
e0856,x,high,road 1a instructs another agents browser
e0498,w,low,PUT floor own widget text absent
e0237,w,high,rule 5 own tenant sms configuration
e0289,w,high,rule 1 own record associations delete
e0988,w,high,rule 4 own custom field definition edit
e0920,x,high,road 1b adds login identity to a users account
e0590,x,high,POST create road 2 new record import job
e0264,w,high,rule 4 own channel container archive
e0891,x,high,POST create road 2 new queue
e0339,w,high,rule 11 mark status no receipt stated
e0629,r,high,POST read renders and returns not stored
e0691,w,high,PATCH floor own board item move
e0912,x,high,POST create road 2 new user field
e0607,x,high,POST create road 2 new schema relationship
e0611,w,low,upsert by identity not repeatable creation rule 1 profile
e0347,w,high,PATCH floor own object update
e0941,w,high,rule 4 own content item edit
e0951,w,high,rule 6 own oauth client edit
e0303,w,high,rule 4 own property definition delete
e0844,w,high,rule 4 own routing attribute definition edit
e0538,w,high,rule 4 own catalogue entry relationships
e0595,r,high,POST read returns analytics values
e0288,w,high,rule 1 own record archive
e0504,w,high,rule 4 own catalogue entry delete
e0749,x,high,road 2 copy creates a new board each call
e0968,w,high,PUT floor own target config edit
e0773,w,high,rule 4 own content variant delete
e0400,w,high,rule 1 purge own data irreversibility not the test
e0353,w,high,PATCH floor own object update
e0158,x,low,POST register creates a client rule ii
e0669,x,high,road 1b removes a member from a user group
e0864,x,high,POST create road 2 new form status associations
e0342,w,high,PATCH floor own object update
e0994,x,high,road 1a sends verification email to the user
e0205,x,high,road 1b assigns groups to an access role
e0395,r,high,POST read search only
e0192,w,high,rule 6 rotating own key material
e0442,w,high,rule 4 own action function definition edit
e0195,w,high,rule 6 rotating own signing key
e0774,x,high,road 1b removes a user from a group
e0918,x,high,road 1b creates user accounts others log in with
e0055,x,high,rule 4 access role removed from assigned users
e0799,w,high,rule 1 own suspended ticket records delete
e0855,x,high,road 1a instructs another agents browser
e0513,w,high,rule 4 own form definition delete
e0017,x,high,rule 2 deletes another persons login account
e0274,w,low,DELETE floor own transcript text absent
e0930,w,high,rule 5 own automation configuration edit
e0584,x,high,POST create road 2 bulk creates coupon codes
e0632,x,high,POST create road 2 new web feed
e0089,w,high,rule 4 own template edit
e0415,w,low,upsert by unique property not repeatable creation
e0640,x,high,POST create road 2 new review
e0972,w,high,rule 4 own field ordering edit
e0936,w,high,rule 5 own trigger configuration edit
e0454,w,high,rule 4 own folder container move
e0391,x,high,rule 12 starts an async extraction task each call
e0549,w,high,rule 4 own schema relationship edit
e0906,x,high,POST create road 2 new form status associations
e0320,w,high,rule 4 own draft table edit
e0450,w,high,rule 4 own site page grouping setting
e0997,w,low,rule 2 edits account preference not access
e0304,w,high,rule 4 own association definition delete
e0429,x,high,road 2 sends event occurrences each call
e0959,x,high,road 1a sends a test email to an address
e0873,x,high,POST create road 2 new asset field
e0460,w,high,rule 4 restores own list
e0220,x,high,road 1b assigns access roles to a user
e0728,x,high,POST create road 2 new shape item
e0684,w,high,PATCH floor own board item edit
e0596,x,high,POST create road 2 new flow
e0455,w,high,rule 4 own folder rename
e0620,r,high,POST read returns analytics values
e0109,w,high,rule 6 own connection edit
e0651,w,high,rule 4 own board connector delete
e0751,w,high,rule 9 cancels the callers own export job
e0520,w,high,rule 4 own segment definition delete
e0147,x,high,road 2 creates a new version and starts execution
e0886,w,low,upsert own organization record rule 1
e0931,w,high,rule 5 own brand configuration edit
e0575,x,low,rule 12 starts a bulk delete job each call
e0788,w,low,DELETE floor own subscription text absent
