row_id,provider,api_key,method,path,operationId
1,1password.local,1password.local:connect,DELETE,/vaults/{vaultUuid}/items/{itemUuid},DeleteVaultItem
2,1password.local,1password.local:connect,PATCH,/vaults/{vaultUuid}/items/{itemUuid},PatchVaultItem
3,6-dot-authentiqio.appspot.com,6-dot-authentiqio.appspot.com,DELETE,/key,key_revoke_nosecret
4,6-dot-authentiqio.appspot.com,6-dot-authentiqio.appspot.com,DELETE,/scope/{job},sign_delete
5,6-dot-authentiqio.appspot.com,6-dot-authentiqio.appspot.com,PUT,/key/{PK},key_bind
6,6-dot-authentiqio.appspot.com,6-dot-authentiqio.appspot.com,PUT,/scope/{job},sign_update
7,ably.io,ably.io:platform,DELETE,/push/channelSubscriptions,deletePushDeviceDetails
8,ably.io,ably.io:platform,DELETE,/push/deviceRegistrations,unregisterAllPushDevices
9,ably.io,ably.io:platform,DELETE,/push/deviceRegistrations/{device_id},unregisterPushDevice
10,ably.io,ably.io:platform,PATCH,/push/deviceRegistrations/{device_id},patchPushDeviceDetails
11,ably.io,ably.io:platform,PUT,/push/deviceRegistrations/{device_id},putPushDeviceDetails
12,ably.net,ably.net:control,DELETE,/apps/{app_id}/namespaces/{namespace_id},
13,ably.net,ably.net:control,DELETE,/apps/{app_id}/queues/{queue_id},
14,ably.net,ably.net:control,DELETE,/apps/{app_id}/rules/{rule_id},
15,ably.net,ably.net:control,DELETE,/apps/{id},
16,ably.net,ably.net:control,PATCH,/apps/{app_id}/keys/{key_id},
17,ably.net,ably.net:control,PATCH,/apps/{app_id}/namespaces/{namespace_id},
18,ably.net,ably.net:control,PATCH,/apps/{id},
19,adafruit.com,adafruit.com,DELETE,/{username}/activities,destroyActivities
20,adafruit.com,adafruit.com,DELETE,/{username}/feeds/{feed_key}/data/{id},destroyData
21,adafruit.com,adafruit.com,DELETE,/{username}/tokens/{id},destroyToken
22,adafruit.com,adafruit.com,DELETE,/{username}/triggers/{id},destroyTrigger
23,adafruit.com,adafruit.com,PATCH,/{username}/{type}/{type_id}/acl/{id},updatePermission
24,adafruit.com,adafruit.com,PATCH,/{username}/dashboards/{dashboard_id}/blocks/{id},updateBlock
25,adafruit.com,adafruit.com,PATCH,/{username}/feeds/{feed_key}/data/{id},updateData
26,adafruit.com,adafruit.com,PATCH,/{username}/groups/{group_key},updateGroup
27,adafruit.com,adafruit.com,PATCH,/{username}/tokens/{id},updateToken
28,adafruit.com,adafruit.com,PATCH,/{username}/triggers/{id},updateTrigger
29,adafruit.com,adafruit.com,PUT,/{username}/dashboards/{dashboard_id}/blocks/{id},replaceBlock
30,adafruit.com,adafruit.com,PUT,/{username}/feeds/{feed_key},replaceFeed
31,adafruit.com,adafruit.com,PUT,/{username}/feeds/{feed_key}/data/{id},replaceData
32,adafruit.com,adafruit.com,PUT,/{username}/groups/{group_key},replaceGroup
33,adafruit.com,adafruit.com,PUT,/{username}/tokens/{id},replaceToken
34,adafruit.com,adafruit.com,PUT,/{username}/triggers/{id},replaceTrigger
35,adobe.com,adobe.com:aem,DELETE,/{path}/{name},deleteNode
36,adobe.com,adobe.com:aem,DELETE,/etc/replication/agents.{runmode}/{name},deleteAgent
37,agco-ats.com,agco-ats.com,DELETE,/api/v2/AuthorizationCodeDefinitions/{id},AuthorizationCodeDefinitions_DeleteAuthorizationCodeDefinition
38,agco-ats.com,agco-ats.com,DELETE,/api/v2/ContentSubmissionAttributes/{contentSubmissionAttributeID},ContentSubmissions_DeleteContentSubmissionAttribute
39,agco-ats.com,agco-ats.com,DELETE,/api/v2/Languages/{LocaleID},Languages_DeleteLanguage
40,agco-ats.com,agco-ats.com,DELETE,/api/v2/PriorityPackages/{ID},PriorityPackages_DeletePriorityPackages
