row_id,provider,method,path,operationId,summary,description
pc-r1460,paypal,POST,/v1/customer/disputes/{id}/provide-evidence,disputes.provide-evidence,Provide evidence,"Provides evidence for a dispute, by ID. A merchant can provide evidence for disputes with the <code>WAITING_FOR_SELLER_RESPONSE</code> status while customers can provide evidence for disputes with the <code>WAITING_FOR_BUYER_RESPONSE</code> status. Evidence can be a proof of delivery or proof of refund document or notes, which can include logs. A proof of delivery document includes a tracking number while a proof of refund document includes a refund ID. For other evidence type, notes and documents can be given. Evidences requested from you can be found by checking the type of evidence for the corresponding source under the evidence section of the <a href=""/docs/api/customer-disputes/v1/#disputes_get"">show dispute details</a> response. The source will be <code>REQUESTED_FROM_SELLER</code> for evidences requested from the merchant while it will be <code>REQUESTED_FROM_BUYER</code> for evidences requested from the customer. For constraints and rules regarding documents, see <a href=""/docs/integration/direct/customer-disputes/integration-guide/#documents"">documents</a>.<br/>To make this request, specify the evidence in the JSON request body and use the <code>provide-evidence</code> link in the <a href=""/docs/api/reference/api-responses/#hateoas-links/"">HATEOAS links</a> of the <a href=""/docs/api/customer-disputes/v1/#disputes_get"">show dispute details</a> response. In case the link is not present in the response, you can't provide evidence for the dispute. For information about dispute reasons, see <a href=""/docs/integration/direct/customer-disputes/integration-guide/#dispute-reasons"">dispute reasons</a>."
pc-r1839,digitalocean,PUT,/v2/databases/{database_cluster_uuid}/migrate,databases_update_region,Migrate a Database Cluster to a New Region,"To migrate a database cluster to a new region, send a `PUT` request to
`/v2/databases/$DATABASE_ID/migrate`. The body of the request must specify a
`region` attribute.

A successful request will receive a 202 Accepted status code with no body in
response. Querying the database cluster will show that its `status` attribute
will now be set to `migrating`. This will transition back to `online` when the
migration has completed."
pc-r3426,asana,POST,/portfolios/{portfolio_gid}/addCustomFieldSetting,addCustomFieldSettingForPortfolio,Add a custom field to a portfolio,"<b>Required scope: </b><code>portfolios:write</code>

Custom fields are associated with portfolios by way of custom field settings.  This method creates a setting for the portfolio."
pc-r0108,stripe,POST,/v1/checkout/sessions/{session}/expire,PostCheckoutSessionsSessionExpire,Expire a Checkout Session,"<p>A Checkout Session can be expired when it is in one of these statuses: <code>open</code> </p>

<p>After it expires, a customer can’t complete a Checkout Session and customers loading the Checkout Session see a message saying the Checkout Session is expired.</p>"
x17-e0037,okta,POST,/api/v1/apps/{appId}/credentials/csrs,generateCsrForApplication,Generate a certificate signing request,"Generates a new key pair and returns the certificate signing request (CSR) for it. The information in a CSR is used by the Certificate Authority (CA) to verify and create your certificate. It also contains the public key that's included in your certificate.

Returns CSR in `pkcs#10` format if the `Accept` media type is `application/pkcs10` or a CSR object if the `Accept` media type is `application/json`.
> **Note:** The key pair isn't listed in the key credentials for the app until it's published."
pc-r1235,square,POST,/v2/terminals/actions,CreateTerminalAction,CreateTerminalAction,Creates a Terminal action request and sends it to the specified device.
x20-e0415,hubspot,POST,/crm/v3/objects/goal_targets/batch/upsert,post-/crm/v3/objects/goal_targets/batch/upsert_upsert,Create or update a batch of goal targets by unique property values,Create or update records identified by a unique property value as specified by the `idProperty` query param. `idProperty` query param refers to a property whose values are unique for the object.
pc-r0239,stripe,DELETE,/v1/invoiceitems/{invoiceitem},DeleteInvoiceitemsInvoiceitem,Delete an invoice item,"<p>Deletes an invoice item, removing it from an invoice. Deleting invoice items is only possible when they’re not attached to invoices, or if it’s attached to a draft invoice.</p>"
x17-e0326,okta,DELETE,/api/v1/groups/{groupId}/roles/{roleAssignmentId}/targets/catalog/apps/{appName}/{appId},unassignAppInstanceTargetToAppAdminRoleForGroup,Unassign a group role app instance target,"Unassigns an app instance target from an `APP_ADMIN` role assignment to a group

> **Note:** You can't remove the last app instance target from a role assignment.
> If you need a role assignment that applies to all apps, delete the `APP_ADMIN` role assignment with the target and create another one. See [Unassign a group role](/openapi/okta-management/management/roleassignmentbgroup/unassignrolefromgroup)."
pc-r1559,meta-whatsapp,POST,/{Version}/{Phone-Number-ID}/groups,createGroup,Create Group,Create a new group and get an invite link
