row_id,provider,method,path,operationId,summary,description
pc-r0306,stripe,POST,/v1/payment_intents/{intent}/apply_customer_balance,PostPaymentIntentsIntentApplyCustomerBalance,Reconcile a customer_balance PaymentIntent,<p>Manually reconcile the remaining amount for a <code>customer_balance</code> PaymentIntent.</p>
pc-r3616,datadog,POST,/api/v1/dashboard/public,CreatePublicDashboard,Create a shared dashboard,"Share a specified private dashboard, generating a URL at which it can be publicly viewed."
pc-r0924,openai,POST,/vaults/{vault_id}/credentials/{credential_id},rotateVaultCredential,Rotate a vault credential,Rotates a vault credential's write-only secret and returns only credential metadata. See [vaults](https://developers.openai.com/api/docs/guides/agents-api/tools/vaults).
pc-r1986,digitalocean,PUT,/v2/images/{image_id},images_update,Update an Image,"To update an image, send a `PUT` request to `/v2/images/$IMAGE_ID`.
Set the `name` attribute to the new value you would like to use.
For custom images, the `description` and `distribution` attributes may also be updated."
pc-r1872,digitalocean,PUT,/v2/databases/{database_cluster_uuid}/sql_mode,databases_update_sql_mode,Update SQL Mode for a Cluster,"To configure the SQL modes for an existing MySQL cluster, send a PUT request to `/v2/databases/$DATABASE_ID/sql_mode` specifying the desired modes. See the official MySQL 8 documentation for a [full list of supported SQL modes](https://dev.mysql.com/doc/refman/8.0/en/sql-mode.html#sql-mode-full).
A successful request will receive a 204 No Content status code with no body in response."
pc-r0126,stripe,DELETE,/v1/coupons/{coupon},DeleteCouponsCoupon,Delete a coupon,"<p>You can delete coupons via the <a href=""https://dashboard.stripe.com/coupons"">coupon management</a> page of the Stripe dashboard. However, deleting a coupon does not affect any customers who have already applied the coupon; it means that new customers can’t redeem the coupon. You can also delete coupons via the API.</p>"
x20-e0363,hubspot,PATCH,/crm/v3/properties/{objectType}/groups/{groupName},patch-/crm/v3/properties/{objectType}/groups/{groupName}_update,Update a property group,Perform a partial update of a property group identified by {groupName}. Provided fields will be overwritten.
pc-r0672,openai,POST,/live/sessions/{session_id}/reject,reject-live-session,Reject call,Reject an incoming SIP call. Send a required SIP rejection status_code between 300 and 699.
pc-r3158,mailchimp,DELETE,/lists/{list_id}/interest-categories/{interest_category_id},deleteListsIdInterestCategoriesId,Delete interest category,Delete a specific interest category.
x20-e0497,hubspot,PUT,/public/api/versioning/test/2027-03-beta/widgets/{widgetId},put-/public/api/versioning/test/2027-03-beta/widgets/{widgetId},,
pc-r2597,jira,POST,/rest/api/2/group/user,addUserToGroup,Add user to group,"Adds a user to a group.

**[Permissions](#permissions) required:** Site administration (that is, member of the *site-admin* [group](https://confluence.atlassian.com/x/24xjL))."
