row_id,provider,method,path,operationId,summary,description
x22-3540,cloudflare,PUT,/zones/{zone_id}/waiting_rooms/settings,waiting-room-update-zone-settings,Update zone-level Waiting Room settings,Replace zone-level Waiting Room settings.
x22-4045,sentry,GET,/api/0/organizations/{organization_id_or_slug}/agents/conversations/{conversation_id}/,retrieveOrganizationAIConversation,Retrieve an Organization's AI Conversation,"**Experimental:** This API is under active development and may change.

Return spans recorded for one AI conversation in start-time order.

Message, tool, and response attributes contain their recorded string values.
Without an explicit range, Sentry widens the search across available retention.
A missing conversation returns an empty `spans` list."
x22-0990,cloudflare,GET,/accounts/{account_id}/devices/registrations/{registration_id},get-registration,Get registration,Fetches a single WARP registration.
x22-1141,cloudflare,POST,/accounts/{account_id}/dns_firewall,dns-firewall-create-dns-firewall-cluster,Create DNS Firewall Cluster,Create a DNS Firewall cluster
x22-0965,cloudflare,GET,/accounts/{account_id}/devices/policy/include,devices-get-split-tunnel-include-list,Get the Split Tunnel include list,Fetches the list of routes included in the WARP client's tunnel.
x22-1212,cloudflare,POST,/accounts/{account_id}/email-security/settings/sending_domain_restrictions,email_security_create_sending_domain_restriction,Create a sending domain restriction,Creates a new sending domain restriction to enforce TLS requirements for a domain. Emails without TLS from this domain will be dropped unless the subdomain is in the exclude list.
x22-2581,cloudflare,GET,/radar/as112/timeseries_groups/edns,radar-get-dns-as112-timeseries-group-by-edns,Get AS112 DNS queries by EDNS support summary,Retrieves the distribution of AS112 DNS queries by EDNS (Extension Mechanisms for DNS) support over time.
x22-3832,pagerduty,GET,/rulesets/{id},getRuleset,Get a Ruleset,"Get a Ruleset.
<!-- theme: warning -->
> ### End-of-life
> Rulesets and Event Rules will end-of-life soon. We highly recommend that you [migrate to Event Orchestration](https://support.pagerduty.com/docs/migrate-to-event-orchestration) as soon as possible so you can take advantage of the new functionality, such as improved UI, rule creation, APIs and Terraform support, advanced conditions, and rule nesting.

Rulesets allow you to route events to an endpoint and create collections of Event Rules, which define sets of actions to take based on event content.

For more information see the [API Concepts Document](../../api-reference/a47605517c19a-api-concepts#rulesets)

Scoped OAuth requires: `event_rules.read`"
x22-3439,cloudflare,PATCH,/zones/{zone_id}/settings/ssl_automatic_mode,ssl-detector-automatic-mode-patch-enrollment,Patch Automatic SSL/TLS Enrollment status for given zone,"The automatic system is enabled when this endpoint is hit with value in the request body is set to ""auto"", and disabled when the request body value is set to ""custom""."
x22-0027,cloudflare,GET,/accounts/{account_id}/abuse-reports,ListAbuseReports,List abuse reports,List the abuse reports for a given account
x22-0439,cloudflare,POST,/accounts/{account_id}/brand-protection/queries,postAccountsAccountIdBrandProtectionQueries,Create new saved string queries,Return a success message after creating new saved string queries
x22-1731,cloudflare,POST,/accounts/{account_id}/moq/relays,moq-relays-create,Create a relay,"Provisions a new MoQ relay instance. Auto-creates a publish+subscribe
token and a subscribe-only token. Token values are included in the
response (shown once). Config is always set to defaults (upstreams
off) and cannot be supplied here — sending a non-empty `config` is
rejected (21014); `null` or `{}` is accepted as absent. Use PUT to
configure the relay after it exists."
x22-2877,cloudflare,GET,/user/load_balancers/preview/{preview_id},load-balancer-monitors-preview-result,Preview Result,Get the result of a previous preview operation using the provided preview_id.
x22-1732,cloudflare,GET,/accounts/{account_id}/moq/relays/{relay_id},moq-relays-get,Get a relay,"Retrieves a single MoQ relay including config and status.
Tokens are NOT included."
x22-0047,cloudflare,POST,/accounts/{account_id}/access/ai-controls/mcp/servers,mcp-portals-api-create-servers,Create a new MCP Server,Creates a new MCP server for connecting to an upstream MCP endpoint.
x22-3313,cloudflare,GET,/zones/{zone_id}/page_shield,page-shield-get-settings,Get client-side security settings,Returns the client-side security product enablement status and reporting behaviors.
x22-0123,cloudflare,GET,/accounts/{account_id}/access/policies,access-policies-list-access-reusable-policies,List Access reusable policies,Lists Access reusable policies.
x22-2422,cloudflare,DELETE,/accounts/{account_id}/workers/scripts/{script_name}/secrets/{secret_name},worker-delete-script-secret,Delete Worker script secret,"Remove a secret from a Worker script by creating a new version without that
secret.

When changing more than one secret at a time, prefer the ""Patch multiple
script secrets"" API instead of changing many secrets individually."
x22-2998,cloudflare,POST,/zones/{zone_id}/api_gateway/operations,api-shield-endpoint-management-add-operations-to-a-zone,Create web or API operations,"Creates one or more web or API operations. Hosts, methods, and paths are normalized; an existing matching operation is returned instead of duplicated."
x22-2098,cloudflare,GET,/accounts/{account_id}/security-center/insights,get-security-center-insights,Retrieves Security Center Insights,"Lists all Security Center insights for the account, showing security findings and recommendations."
x22-2700,cloudflare,GET,/radar/email/routing/summary/encrypted,radar-get-email-routing-summary-by-encrypted,Get email encryption status summary,Retrieves the distribution of emails by encryption status (encrypted vs. not-encrypted).
x22-1908,cloudflare,GET,/accounts/{account_id}/r2/buckets/{bucket_name}/storage-class-migration-jobs,r2-list-storage-class-migration-jobs,List Storage Class Migration Jobs,Lists storage-class migration jobs for an R2 bucket.
x22-0967,cloudflare,GET,/accounts/{account_id}/devices/policy/{policy_id},devices-get-device-settings-policy-by-id,Get device settings profile by ID,Fetches a device settings profile by ID.
