row_id,provider,method,path,operationId,summary,description
r0722,openai,GET,/organization/projects/{project_id}/groups,list-project-groups,List project groups,Lists the groups that have access to a project.
r1396,zoom,PATCH,/users/{userId}/tsp/{tspId},userTSPUpdate,Update a TSP account,Update a user's TSP account
r1757,digitalocean,GET,/v2/account/keys/{ssh_key_identifier},sshKeys_get,Retrieve an Existing SSH Key,"To get information about a key, send a GET request to `/v2/account/keys/$KEY_ID` or `/v2/account/keys/$KEY_FINGERPRINT`.
The response will be a JSON object with the key `ssh_key` and value an ssh_key object which contains the standard ssh_key attributes."
r2786,jira,POST,/rest/api/2/priorityscheme,createPriorityScheme,Create priority scheme,"Creates a new priority scheme.

**[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."
r0591,stripe,POST,/v1/webhook_endpoints,PostWebhookEndpoints,Create a webhook endpoint,"<p>A webhook endpoint must have a <code>url</code> and a list of <code>enabled_events</code>. You may optionally specify the Boolean <code>connect</code> parameter. If set to true, then a Connect webhook endpoint that notifies the specified <code>url</code> about events from all connected accounts is created; otherwise an account webhook endpoint that notifies the specified <code>url</code> only about events from your account is created. You can also create webhook endpoints in the <a href=""https://dashboard.stripe.com/account/webhooks"">webhooks settings</a> section of the Dashboard.</p>"
r3707,datadog,GET,/api/v1/monitor/groups/search,SearchMonitorGroups,Monitors group search,Search and filter your monitor groups details.
r0544,stripe,GET,/v1/topups,GetTopups,List all top-ups,<p>Returns a list of top-ups.</p>
r1311,zoom,POST,/im/groups/{groupId}/members,imGroupMembersCreate,Add IM Group members,Add members to an IM Group under your account
r0517,stripe,POST,/v1/test_helpers/issuing/transactions/create_force_capture,PostTestHelpersIssuingTransactionsCreateForceCapture,Create a test-mode force capture,"<p>Allows the user to capture an arbitrary amount, also known as a forced capture.</p>"
r3192,mailchimp,PATCH,/lists/{list_id}/members/{subscriber_hash}/notes/{note_id},patchListsIdMembersIdNotesId,Update note,Update a specific note for a specific list member.
r0021,stripe,POST,/v1/accounts/{account}/login_links,PostAccountsAccountLoginLinks,Create a login link,"<p>Creates a login link for a connected account to access the Express Dashboard.</p>

<p><strong>You can only create login links for accounts that use the <a href=""/connect/express-dashboard"">Express Dashboard</a> and are connected to your platform</strong>.</p>"
r2586,jira,GET,/rest/api/2/filter/{id}/permission,getSharePermissions,Get share permissions,"Returns the share permissions for a filter. A filter can be shared with groups, projects, all logged-in users, or the public. Sharing with all logged-in users or the public is known as a global share permission.

This operation can be accessed anonymously.

**[Permissions](#permissions) required:** None, however, share permissions are only returned for:

 *  filters owned by the user.
 *  filters shared with a group that the user is a member of.
 *  filters shared with a private project that the user has *Browse projects* [project permission](https://confluence.atlassian.com/x/yodKLg) for.
 *  filters shared with a public project.
 *  filters shared with the public."
r2707,jira,PUT,/rest/api/2/issuetypescheme/{issueTypeSchemeId}/issuetype,addIssueTypesToIssueTypeScheme,Add issue types to issue type scheme,"Adds issue types to an issue type scheme.

The added issue types are appended to the issue types list.

If any of the issue types exist in the issue type scheme, the operation fails and no issue types are added.

**[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."
r2190,digitalocean,DELETE,/v2/reserved_ipv6/{reserved_ipv6},reservedIPv6_delete,Delete a Reserved IPv6,"To delete a reserved IP and remove it from your account, send a DELETE request
to `/v2/reserved_ipv6/$RESERVED_IPV6`.

A successful request will receive a 204 status code with no body in response.
This indicates that the request was processed successfully."
r3306,mailchimp,PATCH,/ecommerce/stores/{store_id}/products/{product_id}/variants/{variant_id},patchEcommerceStoresIdProductsIdVariantsId,Update product variant,Update a product variant.
r1543,meta-whatsapp,GET,/{Version}/{Application-ID}/connected_client_businesses,getConnectedClientBusinesses,Get Connected Client Businesses,"Retrieve a list of client businesses connected to the specified application.


**Use Cases:**
- Monitor application-business client relationships
- Verify connected business configurations
- Retrieve business connection status and details
- Manage client business access and permissions


**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.


**Caching:**
Business connection data can be cached for moderate periods, but status information may change.
Implement appropriate cache invalidation strategies."
r0833,openai,GET,/vector_stores/{vector_store_id}/file_batches/{batch_id}/files,listFilesInVectorStoreBatch,List vector store files in a batch,Returns a list of vector store files in a batch.
r0978,square,POST,/v2/cards,CreateCard,CreateCard,Adds a card on file to an existing merchant.
r1941,digitalocean,DELETE,/v2/droplets/{droplet_id}/destroy_with_associated_resources/dangerous,droplets_destroy_withAssociatedResourcesDangerous,Destroy a Droplet and All of its Associated Resources (Dangerous),"To destroy a Droplet along with all of its associated resources, send a DELETE
request to the `/v2/droplets/$DROPLET_ID/destroy_with_associated_resources/dangerous`
endpoint. The headers of this request must include an `X-Dangerous` key set to
`true`. To preview which resources will be destroyed, first query the
Droplet's associated resources. This operation _can not_ be reverse and should
be used with caution.

A successful response will include a 202 response code and no content. Use the
status endpoint to check on the success or failure of the destruction of the
individual resources."
r0386,stripe,GET,/v1/radar/value_list_items/{item},GetRadarValueListItemsItem,Retrieve a value list item,<p>Retrieves a <code>ValueListItem</code> object.</p>
r1592,meta-whatsapp,POST,/{Version}/{group_id}/participants,addGroupParticipants,Add Group Participants,Add participants to group
r2894,jira,POST,/rest/api/2/search,searchForIssuesUsingJqlPost,Currently being removed. Search for issues using JQL (POST),"Endpoint is currently being removed. [More details](https://developer.atlassian.com/changelog/#CHANGE-2046)

Searches for issues using [JQL](https://confluence.atlassian.com/x/egORLQ).

There is a [GET](#api-rest-api-2-search-get) version of this resource that can be used for smaller JQL query expressions.

This operation can be accessed anonymously.

**[Permissions](#permissions) required:** Issues are included in the response where the user has:

 *  *Browse projects* [project permission](https://confluence.atlassian.com/x/yodKLg) for the project containing the issue.
 *  If [issue-level security](https://confluence.atlassian.com/x/J4lKLg) is configured, issue-level security permission to view the issue."
r3446,asana,DELETE,/project_templates/{project_template_gid},deleteProjectTemplate,Delete a project template,"A specific, existing project template can be deleted by making a DELETE request on the URL for that project template.

Returns an empty data record."
r3738,datadog,GET,/api/v1/slo/correction,ListSLOCorrection,Get all SLO corrections,Get all Service Level Objective corrections.
r0895,openai,GET,/agents/{agent_id},retrieveAgent,Retrieve an agent,Retrieves a reusable agent by ID. See [agent configuration](https://developers.openai.com/api/docs/guides/agents-api/configuration).
r3035,jira,PUT,/rest/atlassian-connect/1/migration/field,AppIssueFieldValueUpdateResource.updateIssueFields_put,Bulk update custom field value,"Updates the value of a custom field added by Connect apps on one or more issues.
The values of up to 200 custom fields can be updated.

**[Permissions](#permissions) required:** Only Connect apps can make this request"
r1379,zoom,POST,/users/{userId}/assistants,userAssistantCreate,Add assistants,Add assistants to a user
r3555,asana,GET,/time_tracking_categories/{time_tracking_category_gid}/time_tracking_entries,getTimeTrackingEntriesForTimeTrackingCategory,Get time tracking entries for a time tracking category,"<b>Required scope: </b><code>time_tracking_categories:read</code>

Returns a paginated list of time tracking entries filtered by a given time tracking category."
r0650,openai,GET,/files/{file_id}/content,downloadFile,Retrieve file content,Returns a response containing the contents of the specified file.
r2283,digitalocean,PUT,/v2/gen-ai/agents/{agent_uuid}/api_keys/{api_key_uuid},genai_update_agent_api_key,Update API Key for an Agent,"To update an agent API key, send a PUT request to `/v2/gen-ai/agents/{agent_uuid}/api_keys/{api_key_uuid}`."
r0839,openai,GET,/vector_stores/{vector_store_id}/files/{file_id}/content,retrieveVectorStoreFileContent,Retrieve vector store file content,Retrieve the parsed contents of a vector store file.
r4143,figma,GET,/v1/component_sets/{key},getComponentSet,Get component set,Get metadata on a published component set by key.
r1801,digitalocean,POST,/v2/apps/{app_id}/rollback,apps_create_rollback,Rollback App,"Rollback an app to a previous deployment. A new deployment will be created to perform the rollback.
The app will be pinned to the rollback deployment preventing any new deployments from being created,
either manually or through Auto Deploy on Push webhooks. To resume deployments, the rollback must be
either committed or reverted.

It is recommended to use the Validate App Rollback endpoint to double check if the rollback is
valid and if there are any warnings."
