row_id,provider,method,path,operationId,summary,description
r0803,openai,POST,/threads,createThread,Create thread,Create a thread.
r1219,square,GET,/v2/subscriptions/{subscription_id}/events,ListSubscriptionEvents,ListSubscriptionEvents,Lists all [events](https://developer.squareup.com/docs/subscriptions-api/actions-events) for a specific subscription.
r2630,jira,DELETE,/rest/api/2/issue/{issueIdOrKey}/comment/{id},deleteComment,Delete comment,"Deletes a comment.

**[Permissions](#permissions) required:**

 *  *Browse projects* [project permission](https://confluence.atlassian.com/x/yodKLg) for the project that the issue containing the comment is in.
 *  If [issue-level security](https://confluence.atlassian.com/x/J4lKLg) is configured, issue-level security permission to view the issue.
 *  *Delete all comments*[ project permission](https://confluence.atlassian.com/x/yodKLg) to delete any comment or *Delete own comments* to delete comment created by the user,
 *  If the comment has visibility restrictions, the user belongs to the group or has the role visibility is restricted to."
r0443,stripe,POST,/v1/subscriptions/{subscription_exposed_id},PostSubscriptionsSubscriptionExposedId,Update a subscription,"<p>Updates an existing subscription to match the specified parameters.
When changing prices or quantities, we optionally prorate the price we charge next month to make up for any price changes.
To preview how the proration is calculated, use the <a href=""/docs/api/invoices/create_preview"">create preview</a> endpoint.</p>

<p>By default, we prorate subscription changes. For example, if a customer signs up on May 1 for a <currency>100</currency> price, they’ll be billed <currency>100</currency> immediately. If on May 15 they switch to a <currency>200</currency> price, then on June 1 they’ll be billed <currency>250</currency> (<currency>200</currency> for a renewal of her subscription, plus a <currency>50</currency> prorating adjustment for half of the previous month’s <currency>100</currency> difference). Similarly, a downgrade generates a credit that is applied to the next invoice. We also prorate when you make quantity changes. You can also <a href=""/billing/scripts/stripe-authored/proration"">use scripts to prorate your billing</a>. To learn more, see <a href=""/billing/subscriptions/prorations"">Prorations</a>.</p>

<p>Switching prices does not normally change the billing date or generate an immediate charge unless:</p>

<ul>
<li>The billing interval is changed (for example, from monthly to yearly).</li>
<li>The subscription moves from free to paid.</li>
<li>A trial starts or ends.</li>
</ul>

<p>In these cases, we apply a credit for the unused time on the previous price, immediately charge the customer using the new price, and reset the billing date. Learn about how <a href=""/docs/billing/subscriptions/upgrade-downgrade#immediate-payment"">Stripe immediately attempts payment for subscription changes</a>.</p>

<p>If you want to charge for an upgrade immediately, pass <code>proration_behavior</code> as <code>always_invoice</code> to create prorations, automatically invoice the customer for those proration adjustments, and attempt to collect payment. If you pass <code>create_prorations</code>, the prorations are created but not automatically invoiced. If you want to bill the customer for the prorations before the subscription’s renewal date, you need to manually <a href=""/docs/api/invoices/create"">invoice the customer</a>.</p>

<p>If you don’t want to prorate, set the <code>proration_behavior</code> option to <code>none</code>. With this option, the customer is billed <currency>100</currency> on May 1 and <currency>200</currency> on June 1. Similarly, if you set <code>proration_behavior</code> to <code>none</code> when switching between different billing intervals (for example, from monthly to yearly), we don’t generate any credits for the old subscription’s unused time. We still reset the billing date and bill immediately for the new subscription.</p>

<p>Updating the quantity on a subscription many times in an hour may result in <a href=""/docs/rate-limits"">rate limiting</a>. If you need to bill for a frequently changing quantity, consider integrating <a href=""/docs/billing/subscriptions/usage-based"">usage-based billing</a> instead.</p>"
r1465,paypal,POST,/v1/customer/disputes/{id}/escalate,disputes.escalate,Escalate dispute to claim,"Escalates the dispute, by ID, to a PayPal claim. To make this call, the stage in the dispute lifecycle must be `INQUIRY`."
r1525,paypal,GET,/v2/payments/refunds/{refund_id},refunds.get,Show refund details,"Shows details for a refund, by ID."
r1878,digitalocean,GET,/v2/databases/{database_cluster_uuid}/topics/{topic_name},databases_get_kafka_topic,Get Topic for a Kafka Cluster,"To retrieve a given topic by name from the set of a Kafka cluster's topics,
send a GET request to `/v2/databases/$DATABASE_ID/topics/$TOPIC_NAME`.

The result will be a JSON object with a `topic` key."
r3319,mailchimp,POST,/sms-campaigns/{sms_campaign_id}/actions/schedule,postSmsCampaignsIdActionsSchedule,Schedule SMS campaign,Schedule an SMS campaign to send at a specific time.
r1419,zoom,GET,/webinars/{webinarId}/polls/{pollId},webinarPollGet,Retrieve a webinar's poll,Retrieve a webinar's poll
r2834,jira,GET,/rest/api/2/project/{projectIdOrKey}/statuses,getAllStatuses,Get all statuses for project,"Returns the valid statuses for a project. The statuses are grouped by issue type, as each project has a set of valid issue types and each issue type has a set of valid statuses.

This operation can be accessed anonymously.

**[Permissions](#permissions) required:** *Browse Projects* [project permission](https://confluence.atlassian.com/x/yodKLg) for the project."
r4094,canva,GET,/v1/imports/{jobId},getDesignImportJob,,"Gets the result of a design import job created using the [Create design import job API](https://www.canva.dev/docs/connect/api-reference/design-imports/create-design-import-job/).

You might need to make multiple requests to this endpoint until you get a `success` or `failed` status. For more information on the workflow for using asynchronous jobs, see [API requests and responses](https://www.canva.dev/docs/connect/api-requests-responses/#asynchronous-job-endpoints)."
r0104,stripe,GET,/v1/checkout/sessions,GetCheckoutSessions,List all Checkout Sessions,<p>Returns a list of Checkout Sessions.</p>
r0510,stripe,POST,/v1/test_helpers/issuing/cards/{card}/shipping/ship,PostTestHelpersIssuingCardsCardShippingShip,Ship a testmode card,<p>Updates the shipping status of the specified Issuing <code>Card</code> object to <code>shipped</code>.</p>
r0973,square,GET,/v2/bookings/{booking_id}/custom-attributes,ListBookingCustomAttributes,ListBookingCustomAttributes,"Lists a booking's custom attributes.

To call this endpoint with buyer-level permissions, set `APPOINTMENTS_READ` for the OAuth scope.
To call this endpoint with seller-level permissions, set `APPOINTMENTS_ALL_READ` and `APPOINTMENTS_READ` for the OAuth scope."
r2421,digitalocean,POST,/v1/chat/completions,inference_create_chat_completion,Create a model response for the given chat conversation,Creates a model response for the given chat conversation.
r0426,stripe,GET,/v1/sources/{source}/source_transactions/{source_transaction},GetSourcesSourceSourceTransactionsSourceTransaction,Retrieve a source transaction,<p>Retrieve an existing source transaction object. Supply the unique source ID from a source creation request and the source transaction ID and Stripe will return the corresponding up-to-date source object information.</p>
r1095,square,GET,/v2/labor/employee-wages,ListEmployeeWages,ListEmployeeWages,Returns a paginated list of `EmployeeWage` instances for a business.
r0838,openai,DELETE,/vector_stores/{vector_store_id}/files/{file_id},deleteVectorStoreFile,Delete vector store file,"Delete a vector store file. This will remove the file from the vector store but the file itself will not be deleted. To delete the file, use the [delete file](https://developers.openai.com/api/reference/resources/files/methods/delete) endpoint."
r0283,stripe,POST,/v1/issuing/settlements/{settlement},PostIssuingSettlementsSettlement,Update a settlement,<p>Updates the specified Issuing <code>Settlement</code> object by setting the values of the parameters passed. Any parameters not provided will be left unchanged.</p>
r1600,meta-whatsapp,GET,/{Version}/{Message-History-ID}/events,getMessageHistoryEvents,Get WhatsApp Message History Events,"Retrieve paginated message delivery status events for a specific message history entry,
including delivery status occurrences, timestamps, and application information.


**Use Cases:**
- Track detailed message delivery status events and transitions
- Monitor delivery status occurrence timestamps
- Retrieve application information for delivery events
- Debug message delivery issues and status changes


**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.


**Caching:**
Message history events can be cached for short periods, but delivery status events
may change frequently. Implement appropriate cache invalidation strategies.


**Pagination:**
This endpoint supports cursor-based pagination. Use the `after` and `before` cursors
from the response to navigate through results."
r2507,jira,DELETE,/rest/api/2/dashboard/{id},deleteDashboard,Delete dashboard,"Deletes a dashboard.

**[Permissions](#permissions) required:** None

The dashboard to be deleted must be owned by the user."
r2775,jira,DELETE,/rest/api/2/plans/plan/{planId}/team/planonly/{planOnlyTeamId},deletePlanOnlyTeam,Delete plan-only team,"Deletes a plan-only team and their planning settings.

**[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."
